label,row,col,R,G,B
P01,0,0,190.3812255859375,130.971435546875,124.87265014648438
P02,0,1,105.30204010009766,117.99510192871094,117.47020721435547
P03,1,0,240.41795349121094,186.5771484375,57.847347259521484
P04,1,1,116.85877227783203,142.19918823242188,139.25306701660156
P05,2,0,244.52081298828125,222.3020477294922,16.194286346435547
P06,2,1,133.29225158691406,169.42041015625,165.1812286376953
P07,3,0,124.48245239257812,188.16734313964844,82.3624496459961
P08,3,1,164.94448852539062,192.9461212158203,197.46775817871094
P09,4,0,20.196735382080078,163.97633361816406,251.97877502441406
P10,4,1,195.88327026367188,213.80897521972656,220.3004150390625
P11,5,0,148.49388122558594,131.50204467773438,234.24407958984375
P12,5,1,220.85061645507812,234.85061645507812,237.83265686035156
P13,6,0,149.37387084960938,119.60163116455078,115.79755401611328
P14,6,1,183.9591827392578,117.81388092041016,125.1624526977539
P15,7,0,209.33714294433594,156.84735107421875,98.9608154296875
P16,7,1,119.15184020996094,208.66775512695312,83.43592071533203
P17,8,0,235.23265075683594,209.03591918945312,84.46204376220703
P18,8,1,72.32408142089844,123.47347259521484,209.8261260986328
P19,9,0,90.83999633789062,136.3926544189453,94.30530548095703
P20,9,1,200.90367126464844,202.52244567871094,32.046531677246094
P21,10,0,50.4310188293457,136.3428497314453,202.96897888183594
P22,10,1,60.40081787109375,189.46612548828125,198.6318359375
P23,11,0,111.95755004882812,113.6130599975586,174.5404052734375
P24,11,1,146.72080993652344,104.13714599609375,214.14122009277344
