label,row,col,R,G,B
P01,0,0,183.88490295410156,85.7551040649414,77.0971450805664
P02,0,1,50.0,50.0,50.0
P03,1,0,212.6987762451172,141.7371368408203,31.492244720458984
P04,1,1,90.0,90.0,88.0
P05,2,0,236.29225158691406,222.67835998535156,45.87673568725586
P06,2,1,131.0,130.0,128.0
P07,3,0,90.55836486816406,150.32164001464844,61.06938934326172
P08,3,1,172.0,171.0,169.0
P09,4,0,67.79020690917969,132.9755096435547,198.67019653320312
P10,4,1,213.0,212.0,210.0
P11,5,0,149.95755004882812,89.96163177490234,164.05795288085938
P12,5,1,249.0,248.0,244.0
P13,6,0,117.00244903564453,58.99755096435547,47.0
P14,6,1,182.0,28.0,30.0
P15,7,0,200.0,113.0,59.0
P16,7,1,28.0,181.0,28.0
P17,8,0,239.0,201.0,92.0
P18,8,1,28.0,28.0,178.0
P19,9,0,59.0,112.0,70.0
P20,9,1,182.0,181.0,29.0
P21,10,0,52.05061340332031,103.00326538085938,156.0
P22,10,1,27.911836624145508,181.08489990234375,178.0
P23,11,0,109.9869384765625,72.04244995117188,119.02449035644531
P24,11,1,182.05877685546875,27.042448043823242,179.9077606201172
